key,en,ms,zh
common.save,Save,Simpan,保存,
common.cancel,Cancel,Batal,取消,
common.submit,Submit,Hantar,提交,
common.back,Back,Kembali,返回,
common.next,Next,Seterusnya,下一步,
common.close,Close,Tutup,关闭,
common.delete,Delete,Padam,删除,
common.edit,Edit,Sunting,编辑,
common.loading,Loading...,Memuatkan...,加载中...,
common.error,Error,Ralat,错误,
common.retry,Retry,Cuba lagi,重试,
common.confirm,Confirm,Sahkan,确认,
common.search,Search,Cari,搜索,
common.filter,Filter,Tapis,筛选,
common.clear,Clear,Kosongkan,清除,
common.noResults,No results,Tiada hasil,无结果,
nav.create,Create,Cipta,创建,
nav.dashboard,Dashboard,Papan Pemuka,仪表板,
nav.settings,Settings,Tetapan,设置,
nav.history,History,Sejarah,历史,
nav.ask,Ask,Tanya,询问,
nav.home,Home,Laman Utama,首页,
nav.guide,Guide,Panduan,指南,
nav.openApp,Open app,Buka aplikasi,打开应用,
landing.heroTitle,Not sure if e-invoicing applies to you? Start here.,Tidak pasti jika e-invois terpakai kepada anda? Mula di sini.,不确定电子发票是否适用于您？从这里开始。,
landing.heroSubtitle,"Malaysian e-invoice made easy - snap, speak, submit.","E-invois Malaysia dipermudahkan - snap, sebut, hantar.",马来西亚电子发票，简单易用 - 拍照、说话、提交。,
landing.heroCtaScope,Am I in scope?,Adakah saya dalam skop?,我是否在范围内？,
landing.heroCtaCreate,Create an invoice,Cipta invois,创建发票,
landing.goToDashboard,Go to dashboard,Pergi ke papan pemuka,前往仪表板,
landing.feature1Title,Private & Local-First,Peribadi & Setempat-Dulu,隐私优先 & 本地优先,
landing.feature1Desc,Your invoice data never leaves your device unless you choose Drive backup.,Data invois anda tidak meninggalkan peranti anda melainkan anda memilih sandaran Drive.,您的发票数据不会离开设备，除非您选择云端备份。,
landing.feature2Title,MyInvois-Valid Output,Keluaran Sah-MyInvois,MyInvois 合规输出,
landing.feature2Desc,Full UBL 2.1 JSON format with QR code as required by IRBM.,Format JSON UBL 2.1 penuh dengan kod QR seperti dikehendaki oleh LHDNM.,完整的 UBL 2.1 JSON 格式及 QR 码，符合 IRBM 要求。,
landing.feature3Title,Free,Percuma,免费,
landing.feature3Desc,"Free to use. No subscriptions, no hidden fees.","Percuma untuk digunakan. Tiada langganan, tiada yuran tersembunyi.",免费使用。无订阅，无隐藏费用。,
landing.painTitle,One path is painful. One is not.,Satu jalan menyakitkan. Satu lagi tidak.,一条路很痛苦。另一条不是。,
landing.portalTitle,The MyInvois Portal Way,Cara Portal MyInvois,MyInvois 门户方式,
landing.portalItem1,≈2000 classification codes to manually choose from,≈2000 kod klasifikasi untuk dipilih secara manual,≈2000 个分类代码需手动选择,
landing.portalItem2,5-step wizard with multiple screens per invoice,Wizard 5 langkah dengan pelbagai skrin setiap invois,每张发票需经过 5 步向导多屏操作,
landing.portalItem3,Manual buyer TIN validation,Pengesahan TIN pembeli secara manual,手动验证买家 TIN,
landing.portalItem4,7-day submission window pressure,Tekanan tempoh penghantaran 7 hari,7 天提交窗口的压力,
landing.senangTitle,The SenangInvoice Way,Cara SenangInvoice,SenangInvoice 方式,
landing.senangItem1,"Snap, voice, or manual input in seconds","Snap, suara, atau input manual dalam beberapa saat","拍照、语音或手动输入，几秒完成",
landing.senangItem2,AI auto-classification matches your items,Pengelasan automatik AI memadankan item anda,AI 自动分类匹配您的项目,
landing.senangItem3,Single-click submit to MyInvois,Satu klik hantar ke MyInvois,一键提交至 MyInvois,
landing.senangItem4,QR code + PDF generated instantly,Kod QR + PDF dijana serta-merta,即时生成 QR 码 + PDF,
landing.guideTitle,Everything you need to know,Semua yang anda perlu tahu,您需要了解的一切,
landing.readyTitle,Ready to begin?,Sedia untuk bermula?,准备好开始了吗？,
landing.readySubtitle,Join thousands of Malaysian businesses submitting e-invoices the easy way.,Sertai ribuan perniagaan Malaysia yang menghantar e-invois dengan cara mudah.,加入成千上万家以简单方式提交电子发票的马来西亚企业。,
landing.firstInvoiceCta,Create your first invoice,Cipta invois pertama anda,创建您的第一张发票,
landing.fullGuideCta,Read the full guide,Baca panduan penuh,阅读完整指南,
landing.footerText,Local-first · Your data stays on your device,Setempat-dulu · Data anda kekal di peranti anda,本地优先 · 您的数据保留在您的设备上,
create.title,Create Invoice,Cipta Invois,创建发票,
create.subtitle,Snap a receipt, speak your items, or enter manually,Snap resit, sebut item anda, atau masukkan secara manual,拍照收据、说出您的项目或手动输入,
create.cameraTab,Camera,Kamera,相机,
create.voiceTab,Voice,Suara,语音,
create.manualTab,Manual,Manual,手动,
create.captureHint,Take a photo of your receipt,Ambil gambar resit anda,拍摄您的收据照片,
create.captureHint2,Tap to open camera, or drag an image here,Ketik untuk buka kamera, atau seret imej ke sini,点击打开相机，或拖拽图片到此处,
create.takePhoto,Take Photo,Ambil Gambar,拍照,
create.retakeCamera,Retake (Camera),Ambil Semula (Kamera),重拍（相机）,
create.retakeFile,Retake (File),Ambil Semula (Fail),重拍（文件）,
create.startScan,Start Scan,Mula Imbas,开始扫描,
create.speakItems,Speak your items,Sebut item anda,说出您的项目,
create.speakItemsHint,"Say e.g. ""2 nasi lemak at 5 ringgit each""","Sebut cth. ""2 nasi lemak pada 5 ringgit setiap satu""","例如说 ""2份椰浆饭，每份5令吉""",
create.startRecording,Start Recording,Mula Rakam,开始录音,
create.stop,Stop,Berhenti,停止,
create.listening,Listening...,Mendengar...,正在聆听...,
create.capture,Capture,Tangkap,拍摄,
create.lineItems,Line Items,Item Baris,行项目,
create.lineItemsCount,Line Items ({n}),Item Baris ({n}),行项目 ({n}),
create.editItems,Edit Items,Sunting Item,编辑项目,
create.editItemsHint,(click a row to expand),(klik baris untuk kembangkan),(点击行展开),
create.addItems,Add Items,Tambah Item,添加项目,
create.generateButton,Generate Invoice,Jana Invois,生成发票,
create.addLine,Add,Cipta,添加行,
create.added,✓ Added,✓ Ditambah,✓ 已添加,
create.itemDescription,Item description,Penerangan item,项目描述,
create.qty,Qty,Kuantiti,数量,
create.unitPrice,Unit Price (RM),Harga Seunit (RM),单价 (RM),
create.extracting,Extracting line items...,Mengekstrak item baris...,正在提取行项目...,
create.error,{error}. Try again, or switch to Manual entry.,{error}. Cuba lagi, atau tukar ke entri Manual.,{error}。请重试，或切换到手动输入。,
dashboard.title,Senang Invoice,Senang Invoice,Senang Invoice,
dashboard.subtitle,Malaysian e-invoice made easy,E-invois Malaysia dipermudahkan,马来西亚电子发票，简单易用,
dashboard.invoices,Invoices,Invois,发票,
dashboard.validated,Validated,Disahkan,已验证,
dashboard.total,Total,Jumlah,总计,
dashboard.tabActive,Active,Aktif,活跃,
dashboard.tabArchived,Archived,Diarkib,已归档
dashboard.tabTrash,Trash,Sampah,回收站
dashboard.searchPlaceholder,Search invoices...,Cari invois...,搜索发票...,
dashboard.sortDate,Date,Tarikh,日期,
dashboard.sortAmount,Amount,Jumlah,金额,
dashboard.sortBusiness,Business,Perniagaan,企业,
dashboard.today,Today,Hari ini,今天,
dashboard.thisMonth,This Month,Bulan ini,本月,
dashboard.clearFilter,Clear,Kosongkan,清除,
dashboard.noInvoices,No invoices yet,Belum ada invois,暂无发票,
dashboard.noInvoicesDesc,Create your first e-invoice to see it here.,Cipta e-invois pertama anda untuk melihatnya di sini.,创建您的第一张电子发票即可在此查看。,
dashboard.createInvoice,Create Invoice,Cipta Invois,创建发票,
settings.title,Settings,Tetapan,设置,
settings.subtitle,Configure your Senang Invoice,Konfigurasi Senang Invoice anda,配置您的 Senang Invoice,
settings.sellerProfile,Seller Profile,Profil Penjual,卖家资料,
settings.sellerProfileDesc,Business name, TIN, address,Nama perniagaan, TIN, alamat,企业名称、TIN、地址,
settings.llmKeys,LLM API Keys,Kunci API LLM,LLM API 密钥,
settings.llmKeysDesc,Stored locally. Priority runs top-to-bottom.,Disimpan setempat. Keutamaan dari atas ke bawah.,本地存储。优先级从上到下。,
settings.myinvoisCreds,MyInvois API Credentials,Kelayakan API MyInvois,MyInvois API 凭证,
settings.myinvoisCredsDesc,Your own ERP credentials. Stored only on this device, used to submit e-invoices as you.,Kelayakan ERP anda sendiri. Disimpan hanya pada peranti ini, digunakan untuk menghantar e-invois sebagai anda.,您自己的 ERP 凭证。仅存储在此设备上，用于以您的身份提交电子发票。,
settings.language,Language,Bahasa,语言,
settings.demoMode,Demo Mode,Mod Demo,演示模式,
settings.demoModeDesc,Show demo data bar at top of page,Papar bar data demo di bahagian atas halaman,在页面顶部显示演示数据栏,
settings.unlock,Unlock,Buka Kunci,解锁,
settings.wrongPassword,Wrong password,Kata laluan salah,密码错误,
settings.googleDriveSync,Google Drive Sync,Segerak Google Drive,Google Drive 同步,
settings.googleDriveSyncDesc,Back up your invoices to Google Drive.,Sandarkan invois anda ke Google Drive.,将您的发票备份到 Google Drive。,
settings.checkStatus,Check Status,Semak Status,检查状态,
settings.connectDrive,Connect Drive,Sambung Drive,连接 Drive,
settings.disconnectDrive,Disconnect,Putuskan Sambungan,断开连接,
settings.connected,Connected to Google Drive ✓,Disambungkan ke Google Drive ✓,已连接到 Google Drive ✓,
settings.notConnected,Not connected,Tidak disambungkan,未连接,
settings.addKey,Add Key,Tambah Kunci,添加密钥,
settings.keyAdded,Key added ✓,Kunci ditambah ✓,密钥已添加 ✓,
settings.save,Saved ✓,Disimpan ✓,已保存 ✓,
settings.editKey,Edit,Sunting,编辑,
settings.deleteKey,Delete,Padam,删除,
settings.active,Active,Aktif,活跃,
settings.paused,Paused,Dijeda,已暂停,
settings.fallback,Fallback,Sandaran,后备,
settings.primary,Primary,Utama,主要,
settings.howToGetKey,How to get a {provider} key,Cara mendapatkan kunci {provider},如何获取 {provider} 密钥,
settings.fullRegistrationGuide,Full registration guide,Panduan pendaftaran penuh,完整注册指南,
profile.title,Seller Profile,Profil Penjual,卖家资料,
profile.subtitle,Your business details for e-invoicing,Butiran perniagaan anda untuk e-invois,您的电子发票企业详情,
profile.businessName,Business Name,Nama Perniagaan,企业名称,
profile.tin,TIN,TIN,TIN,
profile.sstReg,SST Reg No,No Pendaftaran SST,SST 注册号,
profile.msicCode,MSIC Code,Kod MSIC,MSIC 代码,
profile.address,Address,Alamat,地址,
profile.phone,Phone,Telefon,电话,
profile.email,Email,E-mel,电子邮件,
profile.saveProfile,Save Profile,Simpan Profil,保存资料,
profile.savedProfile,Saved ✓,Disimpan ✓,已保存 ✓,
profile.profileSaved,Profile saved successfully,Profil berjaya disimpan,资料保存成功,
profile.couldNotSave,Could not save profile. Please try again.,Tidak dapat menyimpan profil. Sila cuba lagi.,无法保存资料。请重试。,
invoice.seller,Seller,Penjual,卖家,
invoice.buyer,Buyer,Pembeli,买家,
invoice.generalPublic,General Public,Orang Awam,公众,
invoice.namedBuyer,Named Buyer,Pembeli Bernama,指定买家,
invoice.lineItems,Line Items,Item Baris,行项目,
invoice.subtotal,Subtotal,Subjumlah,小计,
invoice.tax,Tax,Cukai,税金,
invoice.total,Total,Jumlah,总计,
invoice.uuid,UUID,UUID,UUID,
invoice.scanToVerify,Scan to verify,Imbas untuk sahkan,扫码验证,
invoice.notFound,Invoice not found,Invois tidak dijumpai,未找到发票,
invoice.notFoundDesc,This invoice may have been deleted or the link is invalid.,Invois ini mungkin telah dipadam atau pautan tidak sah.,此发票可能已被删除或链接无效。,
invoice.goHome,Go Home,Pergi ke Laman Utama,返回首页,
invoice.invoice,Invoice,Invois,发票,
invoice.statusDraft,Draft,Draf,草稿,
invoice.statusValidated,Validated,Disahkan,已验证,
invoice.statusSynced,Synced to Drive,Disegerak ke Drive,已同步到 Drive,
invoice.tinBuyerWarning,⚠ General Public TIN requires consolidated invoice (code 004). Change classification or use a named buyer.,⚠ TIN Orang Awam memerlukan invois disatukan (kod 004). Tukar klasifikasi atau gunakan pembeli bernama.,⚠ 公众 TIN 需要合并发票（代码 004）。请更改分类或使用指定买家。,
invoice.buyerLabel,Buyer,Pembeli,买家,
invoice.buyerName,Buyer Name,Nama Pembeli,买家名称,
invoice.buyerTin,Buyer TIN,TIN Pembeli,买家 TIN,
review.description,Description,Penerangan,描述,
review.quantity,Quantity,Kuantiti,数量,
review.unitPrice,Unit Price (RM),Harga Seunit (RM),单价 (RM),
review.item,Item,Item,项目,
review.price,Price,Harga,价格,
review.amount,Amount,Jumlah,金额,
ask.title,Ask,Tanya,询问,
ask.subtitle,Ask about Malaysian e-invoicing,Tanya tentang e-invois Malaysia,询问马来西亚电子发票相关问题,
ask.placeholder,Ask about e-invoicing...,Tanya tentang e-invois...,询问电子发票相关问题...,
ask.send,Send,Hantar,发送,
ask.emptyTitle,Ask Senang Invoice,Tanya Senang Invoice,询问 Senang Invoice,
ask.emptyDesc,Questions about e-invoicing, exemptions, classification codes, or compliance.,Soalan tentang e-invois, pengecualian, kod klasifikasi, atau pematuhan.,有关电子发票、豁免、分类代码或合规性的问题。,
ask.scopeCheck,Scope Check,Semakan Skop,范围检查,
ask.scopeCheckTitle,E-Invoice Scope Check,Semakan Skop E-Invois,电子发票范围检查,
ask.scopeCheckDesc,Check if your business must comply with e-invoicing.,Semak jika perniagaan anda mesti mematuhi e-invois.,检查您的企业是否必须遵守电子发票规定。,
ask.annualTurnover,Annual Turnover (RM),Pusing Ganti Tahunan (RM),年营业额 (RM),
ask.corporateGroupLabel,Part of a corporate group with RM1m+ combined turnover,Sebahagian daripada kumpulan korporat dengan pusing ganti gabungan RM1j+,属于营业额合计超过 100 万令吉的企业集团,
ask.checkScope,Check Scope,Semak Skop,检查范围,
ask.inScope,In Scope,Dalam Skop,在范围内,
ask.exempt,Exempt,Dikecualikan,豁免,
ask.suggested1,Am I exempt from e-invoicing?,Adakah saya dikecualikan daripada e-invois?,我是否豁免电子发票？,
ask.suggested2,What is the consolidated invoice rule?,Apakah peraturan invois disatukan?,什么是合并发票规则？,
ask.suggested3,How do I correct an invoice?,Bagaimana saya membetulkan invois?,如何更正发票？,
ask.suggested4,What are the penalties for non-compliance?,Apakah penalti untuk ketidakpatuhan?,不合规的处罚是什么？,
errors.networkError,Network error. Please check your connection.,Ralat rangkaian. Sila semak sambungan anda.,网络错误。请检查您的连接。,
errors.llmError,LLM request failed. Check your API key.,Permintaan LLM gagal. Semak kunci API anda.,LLM 请求失败。请检查您的 API 密钥。,
errors.extractionError,Extraction failed. Try a clearer image or different input.,Pengekstrakan gagal. Cuba imej yang lebih jelas atau input berbeza.,提取失败。请尝试更清晰的图像或其他输入。,
errors.mappingError,Classification mapping failed. Please set codes manually.,Pemetaan klasifikasi gagal. Sila tetapkan kod secara manual.,分类映射失败。请手动设置代码。,
errors.submissionError,Submission failed. Check MyInvois credentials.,Penghantaran gagal. Semak kelayakan MyInvois.,提交失败。请检查 MyInvois 凭证。,
errors.sessionExpired,Session expired. Please sign in again.,Sesi tamat. Sila daftar masuk semula.,会话已过期。请重新登录。,
invoice.downloadPdf,Download PDF,Muat Turun PDF,下载 PDF,
dashboard.bukkuExport,Export to Bukku,Eksport ke Bukku,导出至 Bukku,
onboarding.skip,Skip,Langkau,跳过
welcome.stepLabel,Step {n} of 3,Langkah {n} daripada 3,第 {n} 步，共 3 步
welcome.loginTitle,Back up to Google Drive,Sandar ke Google Drive,备份到 Google Drive
onboarding.welcomeTitle,Invoicing made easy,Penginvoisan dipermudah,轻松开发票
onboarding.welcomeDesc,"Snap, speak, or type — get a MyInvois-ready e-invoice in seconds.","Imbas, sebut, atau taip — dapatkan e-invois sedia MyInvois dalam beberapa saat.",拍照、语音或输入，几秒内生成符合 MyInvois 的电子发票。
onboarding.welcomeStep1,"Capture by photo, voice, or manual entry","Tangkap melalui foto, suara, atau kemasukan manual",通过照片、语音或手动输入
onboarding.welcomeStep2,Auto-categorized and validated,Dikategori dan disahkan automatik,自动分类并验证
onboarding.welcomeStep3,Submit to MyInvois with one tap,Hantar ke MyInvois dengan satu ketikan,一键提交至 MyInvois
onboarding.scopeTitle,Do you need e-invoicing?,Adakah anda perlukan e-invois?,您需要电子发票吗？
onboarding.scopeDesc,LHDN is rolling out e-invoicing in phases. Check whether it applies to you yet.,LHDN melaksanakan e-invois secara berperingkat. Semak sama ada ia terpakai kepada anda.,内陆税收局正分阶段推行电子发票，查看是否已适用于您。
onboarding.scopeLink,Check if I need it,Semak jika saya perlukannya,查看我是否需要
onboarding.driveTitle,Your data stays yours,Data anda kekal milik anda,您的数据归您所有
onboarding.driveDesc,Invoices are stored on your device and backed up to your own Google Drive.,Invois disimpan pada peranti anda dan disandarkan ke Google Drive anda sendiri.,发票存储在您的设备上，并备份到您自己的 Google Drive。
onboarding.back,Back,Kembali,返回
onboarding.next,Next,Seterusnya,下一步
onboarding.driveConnect,Connect Google Drive,Sambung Google Drive,连接 Google Drive
onboarding.driveSkip,Skip for now,Langkau buat masa ini,暂时跳过
demo.seeding,Seeding example data...,Menyemai data contoh...,正在生成示例数据...
demo.loaded,"{n} example invoices loaded","{n} invois contoh dimuatkan","已加载 {n} 张示例发票"
demo.clear,Clear,Kosongkan,清除
demo.clearing,Clearing...,Mengosongkan...,清除中...
demo.dismiss,Dismiss,Tutup,关闭
invoice.example,Example,Contoh,示例
create.noItems,No items yet,Belum ada item,暂无项目
create.noItemsHint,"Add items using Camera, Voice, or Manual entry below.","Tambah item guna Kamera, Suara, atau entri Manual di bawah.","使用下方的相机、语音或手动输入添加项目。",
nav.profile,Profile,Profil,个人资料,
landing.downloadAppNow,Download App Now,Muat Turun Aplikasi,立即下载应用,
landing.downloadNow,Download Now,Muat Turun,立即下载,
landing.downloadChooseTitle,Get Senang Inv,Dapatkan Senang Inv,获取 Senang Inv,
landing.downloadViaPlaystore,Google Play Store,Google Play Store,Google Play 商店,
landing.downloadViaPlaystoreDesc,Auto-updates and easy install,Kemas kini automatik dan pemasangan mudah,自动更新，安装简便,
landing.playStoreComingSoon,Coming soon on Google Play,Akan datang di Google Play,即将在 Google Play 上架,
landing.downloadViaApk,Download APK,Muat Turun APK,下载 APK,
landing.downloadViaApkDesc,Direct download for Android devices,Muat turun terus untuk peranti Android,直接下载适用于 Android 设备,
landing.apkComingSoon,APK download coming soon,Muat turun APK akan datang,APK 下载即将推出,
landing.heroMainTitle,Malaysian e-Invoice,e-Invois Malaysia,马来西亚电子发票,
landing.heroMainTitleAccent,Made Easy,Dipermudahkan,轻松搞定,
landing.heroDescription,"Snap a receipt, speak your items, or type them in. Senang Inv handles LHDN MyInvois submission, classification codes, QR codes, and PDF generation — so you don't have to.","Gambar resit, sebut item anda, atau taip. Senang Inv uruskan penyerahan MyInvois LHDN, kod klasifikasi, kod QR, dan penjanaan PDF — supaya anda tidak perlu.",拍照收据、说出项目或手动输入。Senang Inv 为您处理 LHDN MyInvois 提交、分类代码、二维码和 PDF 生成。,
landing.featurePillCompliant,LHDN Compliant,Patuh LHDN,符合 LHDN 标准,
landing.featurePillQr,QR Code Ready,Kod QR Sedia,支持二维码,
landing.featurePillInstant,Instant Validation,Pengesahan Segera,即时验证,
landing.viewGuide,View Full Guide,Lihat Panduan Penuh,查看完整指南,
landing.lhdnQrVerified,LHDN QR Verified,QR LHDN Disahkan,LHDN 二维码已验证,
create.advancedOptions,"Advanced Options (Discount, Payment)","Pilihan Lanjutan (Diskaun, Bayaran)",高级选项（折扣、付款）,
dashboard.tabPending,Pending,Tertunda,待处理,
dashboard.tabValidated,Validated,Disahkan,已验证,
dashboard.tabSynced,Synced,Disegerak,已同步,
dashboard.thisYear,This Year,Tahun ini,今年,
invoice.daysUntilPermanent,Deleted in {days} day(s),Dipadam dalam {days} hari,{days} 天后永久删除,
invoice.archive,Archive,Arkib,归档,
invoice.unarchive,Unarchive,Nyaharkib,取消归档,
invoice.delete,Delete,Padam,删除,
invoice.restore,Restore,Pulihkan,恢复,
invoice.deleteNow,Delete Now,Padam Sekarang,立即删除,
invoice.deleteForever,Delete Forever,Padam Kekal,永久删除,
invoice.confirmHardDeleteTitle,Delete invoice forever?,Padam invois kekal?,永久删除发票？,
invoice.confirmHardDeleteMsg,This permanently removes "{number}". This cannot be undone.,Ini akan memadam "{number}" secara kekal. Tindakan ini tidak boleh dibatalkan.,这将永久删除 "{number}"，无法撤销。,
invoice.confirmDeleteMsg,Move "{number}" to trash? It can be restored within 30 days.,Alihkan "{number}" ke tong sampah? Ia boleh dipulihkan dalam masa 30 hari.,将 "{number}" 移至回收站？30 天内可恢复。,
invoice.edited,Edited after validation,Disunting selepas pengesahan,验证后已编辑,
invoice.editedWarning,"You're editing a validated invoice. The MyInvois record won't change. For official corrections, issue a credit/debit note.","Anda sedang menyunting invois yang telah disahkan. Rekod MyInvois tidak akan berubah. Untuk pembetulan rasmi, keluarkan nota kredit/debit.",您正在编辑已验证的发票。MyInvois 记录不会更改。如需正式更正，请开具贷方/借方票据。,
voice.speechTimeout,Speech timeout — tap and speak again.,Suara tamat masa — ketik dan cuba lagi.,语音超时——点击并重新说话。,
voice.tooLong,Voice took too long — tap and speak again.,Suara terlalu lama — ketik dan cuba lagi.,语音过长——点击并重新说话。,
voice.error,Voice error. Try manual entry.,Ralat suara. Cuba entri manual.,语音错误。请尝试手动输入。,
nav.download,Downloads,Muat Turun,下载,
nav.support,Support,Sokongan,支持,
nav.about,About,Tentang,关于,
about.title,About Senang Inv,Tentang Senang Inv,关于 Senang Inv,
about.intro,Senang Inv helps Malaysian businesses comply with e-invoicing mandates easily and privately.,Senang Inv membantu perniagaan Malaysia mematuhi mandat e-invois dengan mudah dan peribadi.,Senang Inv 帮助马来西亚企业轻松私密地遵守电子发票规定。,
about.missionTitle,Our Mission,Misi Kami,我们的使命,
about.missionDesc,"We believe e-invoicing compliance should be simple, fast, and accessible to every Malaysian business. Your data stays on your device — private, secure, and always under your control.","Kami percaya pematuhan e-invois sepatutnya mudah, pantas, dan boleh diakses oleh setiap perniagaan Malaysia. Data anda kekal pada peranti anda — peribadi, selamat, dan sentiasa di bawah kawalan anda.",我们相信电子发票合规应该简单、快速且适用于每个马来西亚企业。您的数据保留在设备上——私密、安全，始终由您掌控。,
about.privacyTitle,Privacy & Security,Privasi & Keselamatan,隐私与安全,
about.privacyDesc,"Your invoice data never leaves your device unless you choose to back it up to your own Google Drive. No servers, no middlemen, no data harvesting.","Data invois anda tidak meninggalkan peranti anda melainkan anda memilih untuk menyandarkannya ke Google Drive anda sendiri. Tiada pelayan, tiada perantara, tiada pengumpulan data.",除非您选择备份到自己的 Google Drive，否则您的发票数据不会离开设备。无服务器、无中间人、无数据收集。,
about.contactTitle,Contact Us,Hubungi Kami,联系我们,
about.contactDesc,Have questions? Send us a message.,Ada soalan? Hantar mesej kepada kami.,有问题？请给我们留言。,
about.formSuccess,Message sent! We'll get back to you soon.,Mesej dihantar! Kami akan membalas secepat mungkin.,消息已发送！我们会尽快回复。,
about.formName,Your name,Nama anda,您的姓名,
about.formEmail,Your email,E-mel anda,您的邮箱,
about.formMessage,Your message,Mesej anda,您的留言,
about.formError,Failed to send. Please try again.,Gagal menghantar. Sila cuba lagi.,发送失败。请重试。,
about.formSending,Sending...,Menghantar...,发送中...,
about.formSend,Send Message,Hantar Mesej,发送消息,
support.title,Support,Sokongan,支持,
support.intro,Learn about Malaysian e-invoicing requirements and check if they apply to your business.,Ketahui tentang keperluan e-invois Malaysia dan semak sama ada ia terpakai kepada perniagaan anda.,了解马来西亚电子发票要求，并检查是否适用于您的企业。,
support.askTitle,Ask a Question,Tanya Soalan,提问,
support.askDesc,Check whether e-invoicing applies to your business.,Semak sama ada e-invois terpakai kepada perniagaan anda.,检查电子发票是否适用于您的企业。,
support.guideHint,Or browse our guide articles below.,Atau layari artikel panduan kami di bawah.,或浏览下方的指南文章。,
calc.title,Revenue Threshold Calculator,Kalkulator Ambang Hasil,收入门槛计算器,
calc.subtitle,Enter your average sales to check whether you meet the RM1,000,000 annual threshold.,Masukkan purata jualan anda untuk menyemak sama ada anda memenuhi ambang tahunan RM1,000,000.,输入您的平均销售额以检查是否达到 RM1,000,000 年收入门槛。,
calc.period.day,Per Day,Sehari,每日,
calc.period.week,Per Week,Seminggu,每周,
calc.period.month,Per Month,Sebulan,每月,
calc.period.year,Per Year,Setahun,每年,
calc.periodNoun.day,day,hari,天,
calc.periodNoun.week,week,minggu,周,
calc.periodNoun.month,month,bulan,月,
calc.periodNoun.year,year,tahun,年,
calc.inputLabel,Average sales per {period},Purata jualan setiap {period},每{period}平均销售额,
calc.placeholder,e.g. 5000,cth. 5000,例如 5000,
calc.revenueHint,Enter your average revenue per period. We'll annualise it and compare against the RM1,000,000 e-invoicing threshold.,Masukkan purata hasil anda setiap tempoh. Kami akan menganualisasikannya dan membandingkan dengan ambang e-invois RM1,000,000.,输入每期平均收入。我们将按年化计算并与 RM1,000,000 电子发票门槛进行比较。,
calc.estimatedAnnual,Estimated Annual Revenue,Anggaran Hasil Tahunan,估计年收入,
calc.resultRequired,Required to comply,Perlu mematuhi,需要遵守,
calc.resultExempt,Not required to comply (below threshold),Tidak perlu mematuhi (bawah ambang),无需遵守（低于门槛）,
calc.requiredDetail,Your annualised revenue exceeds the RM1,000,000 threshold by {amount}.,Hasil tahunan anda melebihi ambang RM1,000,000 sebanyak {amount}.,您的年化收入超出 RM1,000,000 门槛 {amount}。,
calc.exemptDetail,Your annualised revenue is {amount} below the RM1,000,000 threshold.,Hasil tahunan anda adalah {amount} di bawah ambang RM1,000,000.,您的年化收入低于 RM1,000,000 门槛 {amount}。,
calc.breakdownTitle,Revenue Breakdown,Pecahan Hasil,收入明细,
calc.per.day,Daily,Harian,每日,
calc.per.week,Weekly,Mingguan,每周,
calc.per.month,Monthly,Bulanan,每月,
calc.per.year,Yearly,Tahunan,每年,
calc.disclaimer,This calculator provides an estimate only. Official determination may depend on additional factors.,Kalkulator ini memberikan anggaran sahaja. Penentuan rasmi mungkin bergantung pada faktor tambahan.,此计算器仅提供估算。官方判定可能取决于其他因素。,
guide.indexTitle,E-Invoicing Guide,Panduan E-Invois,电子发票指南,
guide.backToGuide,Back to Guide,Kembali ke Panduan,返回指南,
guide.nextArticle,Next article,Artikel seterusnya,下一篇文章,
guide.loginCta,Open App to Get Started,Buka Aplikasi untuk Bermula,打开应用开始使用,
